roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
271,9,18,18,45,38,40,24,5,3,22,61,83,2.69,2.21,0.34,2.32,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,88.64,100,100,0,100,100,100,100,43.780303,92.484848,57.099174,69.595041,0,80.069444,9.284722,30.069444,11.444444,90.15,0,0.83,71.9,0,0.69,100,100,100
272,3,33,26,-22,57,38,12,70,73,82,109,105,1.79,2.37,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.34,31.09,91.18,0,0,47.59,19.61,7.56,75.94,78.885154,66.32493,89.601604,5.895722,0,88.21123,63.168067,36.633053,92.352941,5.6,4.2,4.55,0,0,0,3.92,1.96,1.34
273,9,18,16,44,39,41,24,4,3,29,67,83,0.59,2.2,0.03,0.2,0.8,0.8,0.6,0.6,8,2,2,4,4,2,2,1,100,100,100,100,0,100,100,100,100,18.458333,88.333333,23.116667,39.508333,0,39.191667,7,37.016667,7.791667,100,7.5,35,98.33,0,34.17,100,100,100
274,8,35,29,-42,57,42,9,5,7,82,99,80,0.5,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,4,2,1,1,74.37,8.01,100,1.37,0,100,100,100,100,86.732265,39.89016,54.524027,19.427918,0,62.19222,79.764302,86.688787,32.805492,41.42,0.69,20.59,0.46,0,11.44,32.72,17.39,34.1
275,8,35,29,-42,57,42,9,74,76,82,99,53,2.85,2.38,2.41,2.42,0.2,0.4,0.7,0.3,9,9,9,6,4,2,1,1,99.77,89.7,100,1.6,0,100,86.27,57.67,100,79.855835,81.82151,41.038902,31.475973,0,70.073227,91.697941,91.118993,54.116705,56.98,48.05,51.49,0.46,0,0,21.74,8.24,12.81
276,8,33,29,-42,57,42,9,70,76,82,99,53,2.85,2.38,2.41,2.42,0.2,0.4,0.7,0.3,9,9,9,6,4,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
277,8,35,29,-42,57,42,9,5,7,82,99,80,0.5,2.38,2.41,2.42,0.2,0.8,0.6,0.7,9,9,9,6,4,2,1,1,74.37,8.01,100,1.37,0,100,100,100,100,86.732265,39.89016,54.510297,19.416476,0,62.19222,79.734554,86.688787,32.805492,41.42,0.69,20.59,0.46,0,11.44,32.72,17.39,34.1
278,9,18,18,45,38,40,24,5,3,22,61,83,2.69,2.21,0.34,2.32,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,88.64,100,100,0,100,100,100,100,43.780303,92.484848,57.099174,69.595041,0,80.069444,9.284722,30.069444,11.444444,90.15,0,0.83,71.9,0,0.69,100,100,100
279,3,33,26,-22,57,38,12,70,73,82,95,105,1.79,2.48,2.53,2.43,0.2,0.6,0.5,0.3,9,9,8,9,2,2,5,1,40.62,31.65,90.91,0,0,48.13,19.33,7.28,76.74,79.117647,66.753501,89.379679,5.882353,0,88.264706,63.291317,36.10084,92.278075,5.6,4.2,4.55,0,0,0,3.36,1.12,1.34
280,3,33,16,44,55,41,12,4,3,29,91,83,0.59,2.2,0.03,0.24,0.8,0.6,0.6,0.6,9,2,7,4,4,2,5,1,100,21.82,100,66.82,0,100,100,35,100,75.081818,47.336364,63.227273,86.954545,0,76.940909,68.504545,55.7,60.568182,29.55,0.91,14.55,19.09,0,13.18,53.64,7.73,23.64
281,9,18,17,44,38,41,24,4,3,22,59,78,2.78,2.21,0.34,2.36,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,52.27,100,100,0,100,100,100,100,48.272727,87.984848,63.931818,68.106061,0,80.719697,9.348485,31.212121,11.545455,93.18,0,2.27,78.03,0,0,100,100,100
282,9,18,18,45,38,40,24,5,3,22,61,83,2.69,2.21,0.34,2.32,0.5,0.8,0.6,0.8,8,3,6,4,4,2,5,1,100,88.64,100,100,0,100,100,100,100,43.780303,92.484848,57.099174,69.603306,0,80.027778,9.284722,30.069444,11.444444,90.15,0,0.83,71.9,0,0.69,100,100,100
