myIndex,roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA,UDI,ASE,sDABin,UDIBin,ASEBin,sDA_Category,UDI_Category,ASE_Category
48,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.0,0.0,0.0,1,5,9,3,4,2,2,4,58.77,93.183908,0.0,"(38.67, 80.77]","(86.117, 98.107]","(-0.001, 0.858]",3,5,1
50,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.0,0.0,0.8,0.0,1,5,9,3,4,2,2,4,8.51,50.57931,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
51,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.3,0.0,0.0,0.3,1,5,9,3,4,2,2,4,95.25,93.511877,14.02,"(80.77, 100.0]","(86.117, 98.107]","(12.32, 38.71]",4,5,3
52,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.0,0.0,0.0,0.3,1,5,9,3,4,2,2,4,40.31,73.965517,14.94,"(38.67, 80.77]","(53.629, 73.968]","(12.32, 38.71]",3,3,3
53,6,8.0,22.666666666666668,14.666666666666666,-14.0,5,88,80,31,194,428,370,481,2.17,1.42,1.53,2.62,0.0,0.0,0.8,0.3,1,5,9,3,4,2,2,4,88.81,85.531034,36.78,"(80.77, 100.0]","(73.968, 86.117]","(12.32, 38.71]",4,4,3
54,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.7,0.4,0.0,0.0,5,5,0,3,2,0,1,2,96.28,87.915161,0.93,"(80.77, 100.0]","(86.117, 98.107]","(0.858, 12.32]",4,5,2
55,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.0,0.4,0.0,0.0,5,5,0,3,2,0,1,2,14.94,30.889436,4.98,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
56,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.0,0.4,0.6,0.0,5,5,0,3,2,0,1,2,100.0,33.158183,74.11,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
57,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.7,0.0,0.0,0.0,5,5,0,3,2,0,1,2,92.83,85.753695,0.0,"(80.77, 100.0]","(73.968, 86.117]","(-0.001, 0.858]",4,4,1
59,7,10.0,31.666666666666668,14.666666666666666,29.0,79,69,11,16,111,165,79,119,0.52,2.47,2.86,0.84,0.0,0.0,0.6,0.0,5,5,0,3,2,0,1,2,100.0,47.821565,64.37,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
