roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
341,9,83,89,-16.1,19,38,5,27,307,179,123,341,0.54,1.85,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,5,5,4,22.25,0,77.72,0.68,0,27.95,37.41,13.44,85.64,74.641911,36.510015,87.787982,31.71094,0,55.982743,81.70077,39.973806,82.145146,0,0,17.35,0,0,4.16,0,1.08,39.94
342,9,11,70,-16.1,16,37,12,27,340,181,377,341,0.44,2.23,1.72,1.6,0.7,0.2,0.7,0.3,3,0,4,3,3,4,1,3,68.01,48.45,85.71,19.25,0,39.44,87.58,70.81,96.58,92.248447,81.248447,71.636646,39.381988,0,37.819876,92.108696,88.468944,61.583851,0,7.76,43.17,0,0,26.09,0.62,27.02,72.98
343,9,83,70,-20.3,19,38,12,12,312,187,123,395,0.34,2.24,1.67,1.6,0.7,0.2,0.6,0.3,9,0,4,2,3,4,5,3,36.96,0,73.91,17.47,0,32.41,64.7,19.96,96.05,82.68498,17.140711,89.857708,57.74585,0,66.296838,91.078261,42.102372,81.964822,0,0,18.18,0,0,5.14,1.5,3.44,45.02
344,9,15,88,-16.1,19,20,4,27,338,181,376,341,0.45,2.23,1.66,1.6,0.7,0.3,0.6,0.3,2,0,3,3,3,0,1,3,77.24,54.48,100,0,0,33.97,67.59,30.52,89.14,93.703448,87.336207,67.274138,15.768966,0,34.355172,89.367241,78.041379,71.089655,0,18.45,55.86,0,0,20.17,0.34,0,49.83
345,9,17,70,-21,32,38,23,12,339,179,124,341,0.34,2.23,1.67,1.6,0.7,0.2,0.7,0.3,9,0,4,2,2,0,4,3,57.71,18.38,89.13,28.66,0,59.49,89.33,81.03,99.6,81.596838,48.217391,66.909091,48.272727,0,61.413043,88.608696,88.725296,57.166008,0,2.96,46.44,0,0,35.38,7.91,16.01,78.26
346,9,26,90,-20.3,31,20,10,39,335,160,386,395,0.44,2.23,1.64,1.61,0.8,0.3,0.7,0.3,3,0,4,2,2,4,1,3,86.18,71.86,93.73,17.55,0,47.66,78.46,19.41,94.62,93.442157,87.552941,69.065686,39.452941,0,51.668993,91.80658,78.329412,69.391825,0.88,7.06,52.06,0,0,23.33,0,0,45.96
347,9,61,70,-20.3,26,21,4,12,309,179,380,341,0.54,2.23,1.67,1.6,0.4,0.2,0.6,0.3,2,0,4,3,3,4,5,3,6.74,0,92.17,0,0,48.48,32.55,7.17,97.28,54.680978,21.557065,84.330435,18.936957,0,76.392935,78.042935,36.614674,78.517935,0,0,31.47,0,0,19.84,0.22,0,45.05
348,9,12,71,-21,26,20,12,27,339,181,126,341,0.54,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,2,3,4,1,3,67.55,47.87,86.97,18.88,0,47.07,80.32,52.93,92.29,92.242021,79.523936,69.835106,38.367021,0,44.220745,93.146277,80.949468,63.098404,0,0,52.66,0,0,29.79,0,0,66.76
349,9,63,70,-20.3,19,40,12,12,396,160,131,341,0.53,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,3,3,4,5,3,45.19,0,87.32,23.34,0,39.03,78.36,27.74,98.08,88.508799,25.400848,84.988095,61.833333,0,71.516046,93.289855,60.219979,75.84058,0,0,27.54,0,0,11.9,1.55,4.61,51.6
350,9,11,70,-16.1,16,37,12,27,340,181,377,341,0.44,2.23,1.72,1.6,0.7,0.2,0.7,0.3,3,0,4,3,3,4,1,3,68.01,48.45,85.71,19.25,0,38.82,87.58,70.81,96.58,92.248447,81.248447,71.636646,39.381988,0,37.524845,92.114907,88.468944,61.583851,0,7.76,43.17,0,0,26.09,0.62,27.02,72.98
351,9,83,89,-16.1,19,38,5,27,307,179,123,341,0.54,1.85,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,5,5,4,22.25,0,78.52,0.52,0,27.95,37.44,13.53,86.53,74.641911,36.519877,87.804314,31.731895,0,55.98829,81.792912,40.00678,82.13621,0,0,17.35,0,0,4.16,0,1.08,39.94
352,9,83,89,-20.3,19,20,12,12,307,179,123,341,0.34,1.86,1.67,1.62,0.7,0.3,0.7,0.3,9,0,4,2,3,0,4,3,26.84,4.04,59.6,10.14,0,25.7,41.36,1.94,79.08,63.935901,12.171957,84.770108,41.08074,0,52.552234,81.522034,21.983975,82.573498,0,0.03,18.21,0,0,5.36,0.09,0,32.23
353,9,26,90,-20.3,31,20,10,39,335,160,386,395,0.44,2.23,1.64,1.61,0.8,0.3,0.7,0.3,3,0,4,2,2,4,1,3,86.18,71.86,93.73,17.55,0,47.66,78.46,19.41,94.62,93.442157,87.552941,69.065686,39.452941,0,51.668993,91.80658,78.329412,69.391825,0.88,7.06,52.06,0,0,23.33,0,0,45.96
354,9,15,88,-16.1,19,20,4,27,338,181,376,341,0.45,2.23,1.66,1.6,0.7,0.3,0.6,0.3,2,0,3,3,3,0,1,3,77.24,54.31,100,0,0,33.97,67.41,30.52,89.14,93.703448,87.368966,67.274138,15.781034,0,34.293103,89.324138,78.041379,71.096552,0,18.45,55.86,0,0,20.17,0.34,0,49.83
355,9,17,70,-21,32,38,23,12,339,179,124,341,0.34,2.23,1.67,1.6,0.7,0.2,0.7,0.3,9,0,4,2,2,0,4,3,57.71,18.38,89.13,28.66,0,59.29,89.53,81.03,99.6,81.596838,48.233202,66.909091,48.349802,0,61.136364,88.606719,88.725296,57.166008,0,2.96,46.44,0,0,35.38,7.91,16.01,78.26
356,9,12,71,-21,26,20,12,27,339,181,126,341,0.54,2.23,1.66,1.6,0.7,0.2,0.7,0.3,2,0,4,2,3,4,1,3,67.55,47.87,86.97,18.88,0,47.07,80.32,52.93,92.29,92.242021,79.523936,69.835106,38.239362,0,44.218085,93.146277,80.949468,63.098404,0,0,52.66,0,0,29.79,0,0,66.76
